,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
129,65.4,54.7,60.7,65.4,54.7,60.7,50.6,71.9,0.53,100.0,29.17,0.0,0.0,32.0,17.9,234.6,56.1,8.8,467.8,40.4,5.0,0.08
130,67.2,42.3,56.8,67.2,36.0,55.9,46.2,71.6,1.532,100.0,33.33,0.0,0.0,34.3,17.9,320.0,59.3,8.0,509.5,43.7,5.0,0.24
131,60.4,37.4,49.0,60.4,34.9,47.9,34.4,57.5,0.0,0.0,0.0,0.0,0.0,19.5,8.1,103.5,49.7,9.9,535.9,45.8,5.0,0.35
132,62.5,49.4,56.8,62.5,48.1,56.8,53.1,87.5,0.098,100.0,16.67,0.0,0.0,21.2,11.9,273.6,86.5,8.6,529.7,45.6,5.0,0.4
133,59.0,43.6,52.4,59.0,42.4,52.1,44.9,76.5,0.0,0.0,0.0,0.0,0.0,18.3,9.4,316.5,50.9,9.6,532.8,45.6,5.0,0.44
134,51.3,46.7,49.4,51.3,42.9,48.1,44.1,83.3,1.09,100.0,58.33,0.0,0.0,17.0,10.7,84.7,100.0,6.4,537.0,45.6,5.0,0.47
135,53.6,47.3,50.3,53.6,44.1,48.9,49.6,97.4,0.201,100.0,37.5,0.0,0.0,15.7,7.8,77.9,100.0,2.1,536.4,45.6,5.0,0.49
136,56.7,52.7,54.2,56.7,52.7,54.2,51.7,91.2,0.0,0.0,0.0,0.0,0.0,19.7,7.9,95.4,100.0,6.8,532.8,45.6,5.0,0.53
137,53.2,51.4,52.5,53.2,51.4,52.5,51.1,95.0,0.456,100.0,37.5,0.0,0.0,9.2,6.5,107.1,100.0,4.9,517.8,44.2,5.0,0.55
138,61.3,51.9,55.5,61.3,51.9,55.5,51.0,85.6,0.0,0.0,0.0,0.0,0.0,10.3,7.8,64.8,86.5,7.1,530.9,45.6,5.0,0.59
139,52.4,48.0,49.5,52.4,43.2,47.0,42.6,77.2,0.0,0.0,0.0,0.0,0.0,23.0,13.2,93.9,95.5,9.5,487.8,41.5,5.0,0.62
140,48.4,43.7,45.8,44.6,39.0,41.2,40.9,83.5,0.784,100.0,41.67,0.0,0.0,24.2,12.7,97.1,100.0,6.8,517.2,43.7,5.0,0.67
141,57.4,43.9,50.7,57.4,39.0,48.9,41.4,72.9,0.834,100.0,25.0,0.0,0.0,24.2,13.6,285.6,50.1,8.2,535.3,45.6,5.0,0.71
142,52.7,35.5,44.0,52.7,32.1,41.2,28.8,57.6,0.0,0.0,0.0,0.0,0.0,24.7,15.6,266.7,12.2,9.9,516.6,44.3,5.0,0.76
143,46.8,35.9,43.6,42.2,32.6,39.8,27.1,52.4,0.0,0.0,0.0,0.0,0.0,20.8,11.0,255.5,61.2,9.9,525.6,44.7,5.0,0.81
144,45.2,31.3,37.4,40.0,24.6,31.6,21.1,52.5,0.0,0.0,0.0,0.0,0.0,21.8,15.0,307.8,3.1,9.9,544.1,47.4,5.0,0.86
145,50.0,28.0,39.7,47.7,23.7,36.4,22.9,53.0,0.0,0.0,0.0,0.0,0.0,13.9,8.2,75.5,33.2,9.9,518.9,44.6,5.0,0.91
146,44.2,39.1,40.8,42.4,31.5,35.7,33.0,75.0,0.065,100.0,33.33,0.0,0.0,19.7,12.7,75.5,97.4,8.5,496.5,42.8,5.0,0.95
147,50.4,39.6,44.1,50.4,33.1,39.3,32.1,63.4,0.0,0.0,0.0,0.0,0.0,19.7,12.8,74.7,99.6,9.8,540.1,46.5,5.0,0.98
148,46.6,39.6,42.8,45.9,34.1,39.4,40.8,92.6,0.024,100.0,16.67,0.0,0.0,21.9,11.0,110.9,100.0,5.1,500.8,42.6,5.0,1.0
149,50.2,11.3,22.9,50.2,-3.8,8.8,10.1,58.4,0.063,100.0,20.83,0.0,0.0,44.7,25.9,288.6,41.1,9.7,554.5,47.6,6.0,0.0
150,25.7,7.9,16.1,15.0,-8.8,3.1,2.4,54.7,0.0,0.0,0.0,0.0,0.0,31.3,17.3,287.7,23.9,9.9,558.7,48.0,6.0,0.01
151,35.4,17.8,25.4,28.0,6.7,16.6,5.4,44.7,0.0,0.0,0.0,0.0,0.0,20.8,12.8,295.1,3.0,9.9,551.7,48.0,6.0,0.03
152,42.5,18.1,30.6,42.5,12.3,26.8,6.2,38.0,0.0,0.0,0.0,0.1,0.0,10.3,7.1,313.9,35.3,9.9,524.6,45.5,6.0,0.07
